car_id,lat,long,Timestamp,location
35,36.06752333,24.8733625,01/06/2014 07:05:01,Jack's Magical Beans
35,36.05535497,24.90216672,01/06/2014 13:49:07,Frydos Autosupply n' More
35,36.0592396,24.85803744,01/07/2014 13:38:06,Gelatogalore
35,36.0675313,24.87333937,01/09/2014 06:59:01,Jack's Magical Beans
35,36.07668432,24.85772443,01/10/2014 13:43:01,Hippokampos
35,36.05574707,24.90241021,01/13/2014 13:41:01,Guy's Gyros
35,36.06752838,24.87333177,01/14/2014 07:09:01,Jack's Magical Beans
35,36.05944989,24.85796727,01/14/2014 13:36:03,Gelatogalore
35,36.06753066,24.87332984,01/15/2014 07:10:01,Jack's Magical Beans
35,36.06034766,24.85656799,01/15/2014 21:58:01,General Grocer
35,36.04811723,24.87956748,01/16/2014 17:58:01,GAStect
35,36.07622488,24.87458182,01/19/2014 18:43:01,None
4,36.07822229,24.87203398,01/07/2014 19:30:01,None
4,36.07820564,24.87213018,01/08/2014 19:14:01,None
4,36.07820468,24.87214022,01/10/2014 19:41:01,None
4,36.05506615,24.90154926,01/11/2014 16:11:03,Frydos Autosupply n' More
4,36.07818576,24.87205313,01/11/2014 18:25:01,None
4,36.07821646,24.87197491,01/14/2014 07:00:03,None
4,36.04811807,24.87957159,01/14/2014 17:59:01,GAStect
4,36.07822117,24.87204553,01/15/2014 06:51:01,None
4,36.07819509,24.87211617,01/16/2014 06:30:01,None
4,36.05571671,24.90251448,01/17/2014 13:22:01,Guy's Gyros
19,36.0519478,24.870807,01/06/2014 13:53:01,Ouzeri Elian
19,36.04820335,24.87957394,01/06/2014 17:28:02,GAStect
19,36.08789591,24.85617798,01/06/2014 19:22:02,None
19,36.04810933,24.87956514,01/07/2014 17:53:01,GAStect
19,36.08792663,24.85628432,01/07/2014 19:08:01,None
19,36.07531462,24.85628479,01/10/2014 20:13:01,Albert's Fine Clothing
19,36.08543913,24.86043454,01/10/2014 23:57:01,None
19,36.08789861,24.85618553,01/14/2014 19:31:02,None
19,36.04811198,24.87956936,01/16/2014 17:48:01,GAStect
19,36.08786318,24.85628313,01/16/2014 19:18:01,None
10,36.07332522,24.86417509,01/06/2014 07:34:01,Brewed Awakenings
10,36.05963308,24.85798168,01/07/2014 13:27:02,Gelatogalore
10,36.04811744,24.87957582,01/07/2014 18:13:01,GAStect
10,36.07334596,24.86420346,01/08/2014 07:25:01,Brewed Awakenings
10,36.07684634,24.8658641,01/10/2014 06:40:01,None
10,36.04811563,24.87956517,01/10/2014 18:13:01,GAStect
10,36.08962196,24.86068835,01/12/2014 16:12:01,Desafio Golf Course
10,36.07333511,24.86419075,01/13/2014 07:20:01,Brewed Awakenings
10,36.07675564,24.86587539,01/13/2014 19:31:01,None
10,36.04811629,24.87957147,01/14/2014 18:13:01,GAStect
10,36.07332048,24.86419778,01/15/2014 07:16:01,Brewed Awakenings
10,36.04811817,24.87956576,01/15/2014 18:21:01,GAStect
7,36.05562579,24.90243985,01/07/2014 13:18:02,Guy's Gyros
7,36.05949784,24.85798425,01/09/2014 13:28:03,Gelatogalore
7,36.05559104,24.90240257,01/13/2014 13:35:02,Guy's Gyros
7,36.08444128,24.86423309,01/16/2014 07:23:01,None
7,36.04811822,24.87957019,01/16/2014 17:45:01,GAStect
7,36.07535318,24.85628224,01/19/2014 20:08:01,Albert's Fine Clothing
11,36.08401526,24.85903914,01/06/2014 18:31:02,None
11,36.08404965,24.85900071,01/07/2014 19:13:01,None
11,36.08403614,24.85898632,01/08/2014 18:22:01,None
11,36.0555286,24.90232125,01/10/2014 13:59:04,Guy's Gyros
11,36.04811711,24.87957163,01/10/2014 17:32:01,GAStect
11,36.08406925,24.85901737,01/13/2014 18:39:01,None
11,36.04811263,24.87956992,01/14/2014 17:15:01,GAStect
11,36.05197456,24.87088843,01/15/2014 13:37:01,Ouzeri Elian
11,36.08394858,24.8589946,01/16/2014 18:31:02,None
11,36.08400439,24.85905222,01/17/2014 18:23:02,None
32,36.07669236,24.85789442,01/06/2014 13:01:03,Hippokampos
32,36.04802421,24.87957582,01/06/2014 18:07:01,GAStect
32,36.05549603,24.90219357,01/07/2014 13:18:05,Guy's Gyros
32,36.04811016,24.87957052,01/08/2014 17:47:01,GAStect
32,36.0556574,24.90235529,01/10/2014 13:13:02,Guy's Gyros
32,36.05197075,24.87088651,01/12/2014 13:37:01,Ouzeri Elian
